 ,Area,Mean,Min,Max
1,23.300,255,255,255
2,11.995,255,255,255
3,1.710,255,255,255
4,0.221,255,255,255
5,0.138,255,255,255
6,0.110,255,255,255
7,0.138,255,255,255
8,0.331,255,255,255
9,0.772,255,255,255
10,0.193,255,255,255
11,2.923,255,255,255
12,0.662,255,255,255
13,0.165,255,255,255
14,0.110,255,255,255
15,0.138,255,255,255
16,0.496,255,255,255
17,0.193,255,255,255
18,0.248,255,255,255
19,0.193,255,255,255
20,0.165,255,255,255
21,0.358,255,255,255
22,0.138,255,255,255
23,3.585,255,255,255
24,32.702,255,255,255
25,0.469,255,255,255
26,0.579,255,255,255
27,0.138,255,255,255
28,0.193,255,255,255
29,0.303,255,255,255
30,0.496,255,255,255
31,0.165,255,255,255
32,0.138,255,255,255
33,0.138,255,255,255
34,23.245,255,255,255
35,0.110,255,255,255
36,0.579,255,255,255
37,0.193,255,255,255
38,0.193,255,255,255
39,0.193,255,255,255
40,0.248,255,255,255
41,0.138,255,255,255
42,0.248,255,255,255
43,11.140,255,255,255
44,0.248,255,255,255
45,0.110,255,255,255
46,0.110,255,255,255
47,0.441,255,255,255
48,0.193,255,255,255
49,0.110,255,255,255
50,0.358,255,255,255
51,0.110,255,255,255
52,1.158,255,255,255
53,0.110,255,255,255
54,0.441,255,255,255
55,0.110,255,255,255
56,1.213,255,255,255
57,5.625,255,255,255
58,0.110,255,255,255
59,0.221,255,255,255
60,0.221,255,255,255
61,0.248,255,255,255
62,0.138,255,255,255
63,0.276,255,255,255
64,0.221,255,255,255
65,0.138,255,255,255
66,0.110,255,255,255
67,1.544,255,255,255
68,0.138,255,255,255
69,0.110,255,255,255
70,0.276,255,255,255
71,0.221,255,255,255
72,5.680,255,255,255
73,0.441,255,255,255
74,17.950,255,255,255
75,0.138,255,255,255
76,0.138,255,255,255
77,0.358,255,255,255
78,0.358,255,255,255
79,0.358,255,255,255
80,1.765,255,255,255
81,0.110,255,255,255
82,0.110,255,255,255
83,0.607,255,255,255
84,0.138,255,255,255
85,2.040,255,255,255
86,0.138,255,255,255
87,0.634,255,255,255
88,0.386,255,255,255
89,2.151,255,255,255
90,0.276,255,255,255
91,50.019,255,255,255
92,0.193,255,255,255
93,0.607,255,255,255
94,0.165,255,255,255
95,0.193,255,255,255
96,0.358,255,255,255
97,0.331,255,255,255
98,0.165,255,255,255
99,0.221,255,255,255
100,1.820,255,255,255
101,1.820,255,255,255
102,0.110,255,255,255
103,0.524,255,255,255
104,1.048,255,255,255
105,0.110,255,255,255
106,5.515,255,255,255
107,0.441,255,255,255
108,3.419,255,255,255
109,0.248,255,255,255
110,0.110,255,255,255
111,0.551,255,255,255
112,0.110,255,255,255
113,5.460,255,255,255
114,0.524,255,255,255
115,0.276,255,255,255
116,0.717,255,255,255
117,190.093,255,255,255
118,0.276,255,255,255
119,0.193,255,255,255
